Star: ANCESTRY II
Star class: S04
Paris coordinates: -1409430064, 347307, 1424075803
Bodies: 46 (15 planets, 31 moons)

System:
Planet #0 (n thin atmosphere)
Planet #1 (d dusty, craterized)
Planet #2 (k thick atmosphere)
Planet #3 (@ large, not consistent)
  Moon #0 (n thin atmosphere)
  Moon #1 (d dusty, craterized)
  Moon #2 (d dusty, craterized)
Planet #4 (d dusty, craterized)
Planet #5 (q quartz surface)
  Moon #0 (d dusty, craterized)
Planet #6 (q quartz surface)
  Moon #0 (d dusty, craterized)
  Moon #1 (n thin atmosphere)
Planet #7 (d dusty, craterized)
Planet #8 (d dusty, craterized)
  Moon #0 (^ unstable)
Planet #9 (i icy surface)
  Moon #0 (n thin atmosphere)
Planet #10 (d dusty, craterized)
Planet #11 (i icy surface)
Planet #12 (r rocky, creased)
  Moon #0 (n thin atmosphere)
  Moon #1 (n thin atmosphere)
Planet #13 (k thick atmosphere)
  Moon #0 (n thin atmosphere)
  Moon #1 (d dusty, craterized)
Planet #14 (+ substellar object)
  Moon #0 (n thin atmosphere)
  Moon #1 (n thin atmosphere)
  Moon #2 (i icy surface)
  Moon #3 (i icy surface)
  Moon #4 (i icy surface)
  Moon #5 (i icy surface)
  Moon #6 (i icy surface)
  Moon #7 (i icy surface)
  Moon #8 (i icy surface)
  Moon #9 (i icy surface)
  Moon #10 (i icy surface)
  Moon #11 (i icy surface)
  Moon #12 (i icy surface)
  Moon #13 (i icy surface)
  Moon #14 (i icy surface)
  Moon #15 (i icy surface)
  Moon #16 (i icy surface)
  Moon #17 (i icy surface)
  Moon #18 (i icy surface)
