Star: DEATH TRAP
Star class: S01
Paris coordinates: 4128560, 4903885, -1360677
Bodies: 53 (13 planets, 40 moons)

System:
Planet #0 (d dusty, craterized)
Planet #1 (r rocky, creased)
Planet #2 (k thick atmosphere)
  Moon #0 (n thin atmosphere)
  Moon #1 (d dusty, craterized)
Planet #3 (r rocky, creased)
  Moon #0 (d dusty, craterized)
Planet #4 (q quartz surface)
Planet #5 (d dusty, craterized)
Planet #6 (@ large, not consistent)
  Moon #0 (d dusty, craterized)
  Moon #1 (q quartz surface)
  Moon #2 (r rocky, creased)
  Moon #3 (d dusty, craterized)
  Moon #4 (q quartz surface)
  Moon #5 (i icy surface)
  Moon #6 (k thick atmosphere)
  Moon #7 (r rocky, creased)
  Moon #8 (r rocky, creased)
  Moon #9 (^ unstable)
  Moon #10 (r rocky, creased)
  Moon #11 (r rocky, creased)
  Moon #12 (k thick atmosphere)
  Moon #13 (n thin atmosphere)
Planet #7 (k thick atmosphere)
Planet #8 (k thick atmosphere)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #9 (+ substellar object)
  Moon #0 (@ large, not consistent)
  Moon #1 (q quartz surface)
  Moon #2 (i icy surface)
  Moon #3 (i icy surface)
  Moon #4 (i icy surface)
  Moon #5 (i icy surface)
  Moon #6 (i icy surface)
  Moon #7 (i icy surface)
  Moon #8 (i icy surface)
  Moon #9 (i icy surface)
  Moon #10 (i icy surface)
  Moon #11 (i icy surface)
  Moon #12 (i icy surface)
  Moon #13 (i icy surface)
  Moon #14 (i icy surface)
  Moon #15 (i icy surface)
  Moon #16 (i icy surface)
  Moon #17 (i icy surface)
Planet #10 (d dusty, craterized)
  Moon #0 (d dusty, craterized)
Planet #11 (k thick atmosphere)
  Moon #0 (n thin atmosphere)
Planet #12 (q quartz surface)
  Moon #0 (n thin atmosphere)
