Star: FRONTIER'S BEACON
Star class: S01
Paris coordinates: -1406192208, -16594, 1421227950
Bodies: 46 (18 planets, 28 moons)

System:
- Planet #0 (k thick atmosphere)
- Planet #1 (d dusty, craterized)
- Planet #2 (r rocky, creased)
  - Moon #0 (d dusty, craterized)
- Planet #3 (r rocky, creased)
- Planet #4 (k thick atmosphere)
  - Moon #0 (d dusty, craterized)
  - Moon #1 (d dusty, craterized)
- Planet #5 (+ substellar object)
  - Moon #0 (k thick atmosphere)
  - Moon #1 (k thick atmosphere)
  - Moon #2 (r rocky, creased)
  - Moon #3 (d dusty, craterized)
  - Moon #4 (d dusty, craterized)
  - Moon #5 (k thick atmosphere)
  - Moon #6 (^ unstable)
  - Moon #7 (d dusty, craterized)
  - Moon #8 (d dusty, craterized)
- Planet #6 (d dusty, craterized)
- Planet #7 (+ substellar object)
  - Moon #0 (k thick atmosphere)
  - Moon #1 (k thick atmosphere)
  - Moon #2 (r rocky, creased)
  - Moon #3 (k thick atmosphere)
  - Moon #4 (d dusty, craterized)
  - Moon #5 (q quartz surface)
  - Moon #6 (@ large, not consistent)
  - Moon #7 (q quartz surface)
  - Moon #8 (k thick atmosphere)
  - Moon #9 (q quartz surface)
  - Moon #10 (k thick atmosphere)
- Planet #8 (r rocky, creased)
  - Moon #0 (d dusty, craterized)
- Planet #9 (i icy surface)
- Planet #10 (d dusty, craterized)
  - Moon #0 (d dusty, craterized)
- Planet #11 (d dusty, craterized)
- Planet #12 (d dusty, craterized)
- Planet #13 (n thin atmosphere)
- Planet #14 (q quartz surface)
- Planet #15 (d dusty, craterized)
  - Moon #0 (d dusty, craterized)
- Planet #16 (r rocky, creased)
- Planet #17 (i icy surface)
  - Moon #0 (d dusty, craterized)
  - Moon #1 (i icy surface)
