Star: RAMUH
Star class: S01
Paris coordinates: 4507120, 4591703, 839113
Bodies: 34 (11 planets, 23 moons)

System:
- Planet #0 (n thin atmosphere)
- Planet #1 (+ substellar object)
- Planet #2 (d dusty, craterized)
- Planet #3 (k thick atmosphere)
  - Moon #0 (d dusty, craterized)
- Planet #4 (+ substellar object)
  - Moon #0 (d dusty, craterized)
  - Moon #1 (k thick atmosphere)
- Planet #5 (r rocky, creased)
- Planet #6 (n thin atmosphere)
  - Moon #0 (d dusty, craterized)
  - Moon #1 (n thin atmosphere)
- Planet #7 (i icy surface)
- Planet #8 (@ large, not consistent)
  - Moon #0 (k thick atmosphere)
  - Moon #1 (q quartz surface)
  - Moon #2 (n thin atmosphere)
  - Moon #3 (i icy surface)
  - Moon #4 (i icy surface)
  - Moon #5 (i icy surface)
  - Moon #6 (i icy surface)
  - Moon #7 (i icy surface)
  - Moon #8 (i icy surface)
  - Moon #9 (n thin atmosphere)
  - Moon #10 (i icy surface)
  - Moon #11 (i icy surface)
  - Moon #12 (i icy surface)
  - Moon #13 (i icy surface)
  - Moon #14 (i icy surface)
  - Moon #15 (i icy surface)
- Planet #9 (n thin atmosphere)
  - Moon #0 (d dusty, craterized)
- Planet #10 (n thin atmosphere)
  - Moon #0 (n thin atmosphere)
