Star: REMSTAR
Star class: S04
Paris coordinates: -23778640, 17631652, 39575026
Bodies: 72 (19 planets, 53 moons)

System:
- Planet #0 (d dusty, craterized)
- Planet #1 (n thin atmosphere)
- Planet #2 (k thick atmosphere)
- Planet #3 (q quartz surface)
- Planet #4 (n thin atmosphere)
  - Moon #0 (d dusty, craterized)
  - Moon #1 (d dusty, craterized)
- Planet #5 (k thick atmosphere)
  - Moon #0 (d dusty, craterized)
- Planet #6 (@ large, not consistent)
  - Moon #0 (n thin atmosphere)
  - Moon #1 (n thin atmosphere)
  - Moon #2 (^ unstable)
  - DEEP PURPLE (n thin atmosphere)
  - Moon #4 (r rocky, creased)
  - Moon #5 (d dusty, craterized)
  - Moon #6 (q quartz surface)
  - Moon #7 (k thick atmosphere)
  - Moon #8 (d dusty, craterized)
  - Moon #9 (n thin atmosphere)
  - Moon #10 (d dusty, craterized)
  - Moon #11 (d dusty, craterized)
- Planet #7 (k thick atmosphere)
- Planet #8 (n thin atmosphere)
- Planet #9 (i icy surface)
  - Moon #0 (n thin atmosphere)
  - Moon #1 (d dusty, craterized)
- Planet #10 (i icy surface)
- Planet #11 (k thick atmosphere)
  - Moon #0 (d dusty, craterized)
- Planet #12 (n thin atmosphere)
  - Moon #0 (n thin atmosphere)
- Planet #13 (+ substellar object)
  - Moon #0 (q quartz surface)
  - Moon #1 (q quartz surface)
  - Moon #2 (i icy surface)
  - Moon #3 (i icy surface)
  - Moon #4 (i icy surface)
  - Moon #5 (i icy surface)
  - Moon #6 (i icy surface)
  - Moon #7 (i icy surface)
  - Moon #8 (i icy surface)
  - Moon #9 (i icy surface)
  - Moon #10 (i icy surface)
- Planet #14 (k thick atmosphere)
- Planet #15 (+ substellar object)
  - Moon #0 (i icy surface)
  - Moon #1 (q quartz surface)
  - Moon #2 (i icy surface)
  - Moon #3 (i icy surface)
  - Moon #4 (i icy surface)
  - Moon #5 (i icy surface)
  - Moon #6 (i icy surface)
  - Moon #7 (i icy surface)
  - Moon #8 (i icy surface)
  - Moon #9 (i icy surface)
  - Moon #10 (i icy surface)
  - Moon #11 (i icy surface)
  - Moon #12 (i icy surface)
  - Moon #13 (i icy surface)
  - Moon #14 (i icy surface)
  - Moon #15 (i icy surface)
  - Moon #16 (i icy surface)
  - Moon #17 (i icy surface)
  - Moon #18 (i icy surface)
- Planet #16 (q quartz surface)
  - Moon #0 (d dusty, craterized)
- Planet #17 (d dusty, craterized)
  - Moon #0 (i icy surface)
- Planet #18 (n thin atmosphere)
  - Moon #0 (d dusty, craterized)
  - Moon #1 (d dusty, craterized)

Guide entries:
 RED GIANT DISC BY SCAREDY-CAT, EPOC 6011.591.575
