Star: SC 09
Star class: S03
Paris coordinates: -3244976, -32927, -2056515
Bodies: 19 (8 planets, 11 moons)

System:
Planet #0 (n thin atmosphere)
Planet #1 (k thick atmosphere)
Planet #2 (r rocky, creased)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #3 (r rocky, creased)
  Moon #0 (d dusty, craterized)
Planet #4 (d dusty, craterized)
Planet #5 (d dusty, craterized)
Planet #6 (+ substellar object)
  Moon #0 (k thick atmosphere)
  Moon #1 (n thin atmosphere)
  Moon #2 (r rocky, creased)
  Moon #3 (i icy surface)
  Moon #4 (i icy surface)
  Moon #5 (k thick atmosphere)
  Moon #6 (i icy surface)
Planet #7 (r rocky, creased)
  Moon #0 (n thin atmosphere)
