Star: TANGERINE
Star class: S04
Paris coordinates: -1032496, 5288368, 353369
Bodies: 40 (17 planets, 23 moons)

System:
Planet #0 (d dusty, craterized)
Planet #1 (d dusty, craterized)
Planet #2 (r rocky, creased)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #3 (k thick atmosphere)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #4 (k thick atmosphere)
Planet #5 (n thin atmosphere)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #6 (r rocky, creased)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #7 (d dusty, craterized)
Planet #8 (i icy surface)
Planet #9 (i icy surface)
Planet #10 (d dusty, craterized)
Planet #11 (q quartz surface)
Planet #12 (d dusty, craterized)
  Moon #0 (d dusty, craterized)
Planet #13 (q quartz surface)
Planet #14 (r rocky, creased)
  Moon #0 (^ unstable)
Planet #15 (@ large, not consistent)
  Moon #0 (i icy surface)
  Moon #1 (i icy surface)
  Moon #2 (i icy surface)
  Moon #3 (i icy surface)
  Moon #4 (i icy surface)
  Moon #5 (i icy surface)
  Moon #6 (i icy surface)
  Moon #7 (i icy surface)
  Moon #8 (i icy surface)
  Moon #9 (i icy surface)
  Moon #10 (i icy surface)
Planet #16 (r rocky, creased)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
