Star: WHIMAHU
Star class: S04
Paris coordinates: 3608208, 4973476, -2026650
Bodies: 54 (13 planets, 41 moons)

System:
Planet #0 (k thick atmosphere)
Planet #1 (q quartz surface)
NOVA ARES (n thin atmosphere)
  Moon #0 (d dusty, craterized)
Planet #3 (n thin atmosphere)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #4 (n thin atmosphere)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
Planet #5 (d dusty, craterized)
  Moon #0 (n thin atmosphere)
Planet #6 (q quartz surface)
  Moon #0 (d dusty, craterized)
  Moon #1 (d dusty, craterized)
  Moon #2 (n thin atmosphere)
Planet #7 (r rocky, creased)
  Moon #0 (d dusty, craterized)
Planet #8 (k thick atmosphere)
  Moon #0 (d dusty, craterized)
Planet #9 (n thin atmosphere)
  Moon #0 (d dusty, craterized)
Planet #10 (+ substellar object)
  Moon #0 (n thin atmosphere)
  Moon #1 (k thick atmosphere)
  Moon #2 (i icy surface)
  Moon #3 (i icy surface)
  Moon #4 (i icy surface)
  Moon #5 (i icy surface)
  Moon #6 (i icy surface)
  Moon #7 (i icy surface)
  Moon #8 (i icy surface)
  Moon #9 (i icy surface)
  Moon #10 (i icy surface)
Planet #11 (k thick atmosphere)
Planet #12 (@ large, not consistent)
  Moon #0 (n thin atmosphere)
  Moon #1 (n thin atmosphere)
  Moon #2 (i icy surface)
  Moon #3 (i icy surface)
  Moon #4 (i icy surface)
  Moon #5 (i icy surface)
  Moon #6 (i icy surface)
  Moon #7 (i icy surface)
  Moon #8 (i icy surface)
  Moon #9 (i icy surface)
  Moon #10 (i icy surface)
  Moon #11 (i icy surface)
  Moon #12 (i icy surface)
  Moon #13 (i icy surface)
  Moon #14 (i icy surface)
  Moon #15 (i icy surface)
  Moon #16 (i icy surface)
  Moon #17 (i icy surface)

Guide entries:
NAMED BY JOHN WINTER 6011 583.272.262
